date,Allied,Arrival,Captain Fantastic,Elle,Fences,Florence Foster Jenkins,Hacksaw Ridge,Hell or High Water,Hidden Figures,Jackie,La La Land,Lion,Loving,Manchester by the Sea,Moana,Moonlight,Nocturnal Animals,O.J.: Made in America,Silence,Zootopia
0:34,0,41,0,0,0,0,0,0,190,0,213,57,0,44,47,166,0,0,0,0
0:39,0,0,0,0,94,0,0,0,173,0,212,83,0,0,42,184,0,0,0,0
0:44,0,0,0,0,83,0,0,0,202,0,264,74,0,0,0,141,0,0,0,0
0:49,0,0,0,0,68,0,0,0,148,70,209,60,0,0,0,149,0,0,0,0
0:54,0,0,0,0,72,0,0,0,115,0,228,70,0,0,0,130,0,0,0,0
0:58,0,0,0,0,60,0,0,0,113,0,368,63,0,0,0,139,0,52,0,0
1:03,0,0,0,0,53,0,0,0,79,0,304,60,0,0,0,150,0,96,0,0
1:08,0,0,0,0,57,0,0,0,68,0,286,74,0,0,0,139,0,54,0,0
1:13,0,0,0,0,71,0,0,0,80,0,243,45,0,0,0,154,0,79,0,67
1:18,0,0,0,0,50,0,0,0,82,0,239,44,0,0,51,144,0,30,0,61
1:23,0,0,0,0,49,0,0,0,67,0,223,51,0,0,0,130,0,40,0,0
1:27,0,0,0,0,51,0,0,0,73,0,215,67,0,0,0,123,0,68,0,0
1:32,0,0,0,0,49,0,0,0,67,0,174,0,0,0,0,118,0,32,0,0
1:37,0,0,0,0,0,0,0,0,55,0,138,0,0,0,0,66,0,65,0,0
1:42,0,0,0,0,0,0,0,0,76,0,184,0,0,0,0,124,0,97,0,0
1:47,0,0,0,0,0,0,0,0,55,0,149,0,53,0,0,114,0,73,0,0
1:51,0,0,0,0,0,0,0,42,47,0,127,57,0,0,0,1083,0,57,0,0
1:56,0,0,0,0,0,0,0,0,57,0,118,0,0,0,0,1150,0,47,0,0
2:01,0,0,114,0,0,0,0,41,38,72,178,0,0,0,0,393,0,60,0,0
2:06,0,0,0,0,0,0,0,0,42,115,360,0,0,0,0,240,0,40,0,0
2:11,0,0,0,0,0,0,0,0,307,0,230,0,0,0,0,233,0,67,0,0
2:15,0,0,0,0,0,0,0,0,554,0,100,0,0,0,0,131,0,976,0,0
2:20,0,0,0,0,0,0,0,0,274,0,120,0,0,0,830,126,0,372,0,0
2:25,0,0,0,0,0,0,0,0,201,0,119,0,0,0,533,123,0,228,0,0
2:30,0,882,0,0,0,0,51,0,161,0,360,0,0,0,288,83,0,175,0,0
2:35,0,534,0,0,0,0,703,0,118,0,1004,0,0,0,155,109,0,113,0,0
2:39,0,242,0,0,0,0,276,0,132,0,816,0,0,0,175,112,0,118,0,0
2:44,0,102,0,0,94,0,109,0,191,76,363,0,0,0,92,130,0,97,0,0
2:49,0,0,0,0,1033,0,0,0,83,0,138,0,0,0,53,56,0,60,0,0
